no.	SMARTS	Toxicity	Accuracy	Fisher P	Parents
273	O1OC2C1Oc3ccccc23	1	0.78	0.057429	
274	CO[O;H1;D1]	1	0.88	0.005692	
275	c1ccsc1	1	0.80	0.000160	
276	[O,S]=C=Nc1ccccc1	1	0.63	0.735122	
277	c1cccc2[S]c3ccccc3C(=O)c12	1	1.00	0.130941	278
278	O=C1c3ccccc3[*]c2ccccc12	1	0.81	0.000000	
279	O=C1c3ccccc3[N,S]c2ccccc12	1	1.00	0.034985	278
280	[c;D2]1ccc2CCc3ccc(O)c(OC)c3c2c1	1	1.00	0.067462	
281	COc1ccc2CCc3ccc(O)cc3-c2c1O	0	0.67	0.594525	
282	[$(Oc1ccc2C3CCCc4cccc(C5CCC(=O)c1c25)c34),$(Oc1ccc2c3cccc4CCCC(C5CCC(=O)c1c25)c34),$(Oc1ccc2c3cccc4CC=CC(C5CCC(=O)c1c25)c34)]	1	1.00	0.130941	
